Protocol,Security,Nodes,DurationSeconds,PayloadBytes,TXPackets,RXPackets,LostPackets,RXBytes,ThroughputKbps,AverageDelayMs,AverageJitterMs,SimulationCpuTimeS,MessagesSent,MessagesReceived,MessagesLost,AverageAppDelayMs,SecurityOverheadBytes,SecurityHandshakeMessages,Seed
AMQP,NONE,3,300,256,1818,1818,0,360060,9.602,3.606,0.724,1.833,900,900,0,7.042,0,0,1
COAP,NONE,12,300,256,3624,3624,0,1120272,29.874,25.34,14.149,7.722,3600,3600,0,25.37,0,0,2
AMQP,MTLS,12,300,256,7442,7442,0,1564808,41.728,16.413,8.87,12.624,3600,3596,0,28.897,115728,96,3
AMQP,TLS,3,300,256,1854,1854,0,387072,10.322,3.596,0.814,2.483,900,900,0,6.818,25140,18,4
MQTT,TLS,12,300,256,7416,7416,0,1519488,40.52,16.262,8.904,19.419,3600,3600,0,28.575,100560,72,5
COAP,MTLS,12,300,256,3720,3720,0,1238688,33.032,28.673,15.489,19.025,3600,3600,0,26.995,115728,96,6
COAP,NONE,6,300,256,1812,1812,0,560136,14.937,14.714,6.773,5.941,1800,1800,0,14.743,0,0,7
MQTT,MTLS,6,300,256,3726,3726,0,768264,20.487,9.02,4.255,10.63,1800,1798,0,16.203,57864,48,8
COAP,NONE,3,300,256,906,906,0,280068,7.468,6.46,1.319,2.801,900,900,0,6.453,0,0,9
MQTT,NONE,6,300,256,3636,3636,0,705720,18.819,7.935,3.667,9.026,1800,1800,0,15.69,0,0,10
AMQP,TLS,6,300,256,3708,3708,0,774144,20.644,8.55,3.825,9.953,1800,1800,0,16.254,50280,36,11
COAP,MTLS,3,300,256,930,930,0,309672,8.258,6.877,1.719,3.208,900,900,0,6.84,28932,24,12
AMQP,NONE,6,300,256,3636,3636,0,720120,19.203,8.187,3.72,7.903,1800,1800,0,16.186,0,0,13
AMQP,MTLS,6,300,256,3739,3739,0,783340,20.889,9.117,4.264,6.801,1800,1800,0,16.36,57864,48,14
MQTT,TLS,3,300,256,1848,1848,0,379560,10.122,4.269,1.219,2.595,900,899,0,7.177,25140,18,15
MQTT,TLS,6,300,256,3702,3702,0,759432,20.252,8.298,3.793,5.525,1800,1799,0,15.557,50280,36,16
MQTT,NONE,3,300,256,1818,1818,0,352860,9.41,3.548,0.768,2.691,900,900,0,6.917,0,0,17
COAP,TLS,12,300,256,3696,3696,0,1222848,32.609,27.878,15.06,9.543,3600,3600,0,27.099,100560,72,18
COAP,TLS,6,300,256,1848,1848,0,611424,16.305,15.732,7.511,3.907,1800,1800,0,15.681,50280,36,19
AMQP,MTLS,3,300,256,1869,1869,0,391644,10.444,4.162,1.007,2.763,900,900,0,7.762,28932,24,20
MQTT,NONE,12,300,256,7272,7272,0,1411440,37.638,13.902,7.497,15.421,3600,3600,0,27.472,0,0,21
AMQP,NONE,12,300,256,7272,7272,0,1440240,38.406,14.262,7.928,16.744,3600,3600,0,28.067,0,0,22
MQTT,MTLS,3,300,256,1872,1872,0,384600,10.256,3.43,0.77,2.664,900,900,0,6.389,28932,24,23
AMQP,TLS,12,300,256,7410,7410,0,1547976,41.279,16.314,8.835,28.804,3600,3599,0,29.015,100560,72,24
COAP,TLS,3,300,256,924,924,0,305712,8.152,6.763,1.642,2.729,900,900,0,6.754,25140,18,25
COAP,MTLS,6,300,256,1860,1860,0,619344,16.516,15.911,7.459,7.291,1800,1800,0,15.763,57864,48,26
MQTT,MTLS,12,300,256,7489,7477,12,1537828,41.009,19.072,9.461,32.771,3600,3600,0,28.57,115728,96,27
